date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,52.38,1.2994
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,11.92,0.2957
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,19.92,0.4942
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,28.91,0.7172
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,34,0.8435
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,135.31,3.3567
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,106.4,2.6395
1/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,34.31,0.8512
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,54.38,1.3411
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,12.8,0.3157
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,17.31,0.4269
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,25.97,0.6404
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,33,0.8138
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,61.23,1.51
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,55.62,1.3716
2/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,39.46,0.9731
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,54.83,1.3344
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,12.74,0.3101
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,21.33,0.5191
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,22.08,0.5374
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,33.42,0.8133
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,55,1.3385
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,55.33,1.3466
3/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,35.5,0.864
4/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,48.75,1.1625
4/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,17.97,0.4285
4/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,17.38,0.4145
4/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,23.08,0.5504
4/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,33.31,0.7943
